,categories,city,country,name,phone,rating,review_count,state,street,url,yelp_alias,zip_code
1260,General Dentistry,Burlingame,US,"Halden Yu, DDS",(650) 692-2548,5.0,39,CA,1750 El Camino Real - Ste 302,https://www.yelp.com/biz/halden-yu-dds-burlingame-4,halden-yu-dds-burlingame-4,94010
1261,Orthodontists | Pediatric Dentists | General Dentistry,Millbrae,US,Mills-Peninsula Pediatric Dentistry & Orthodontics,(650) 689-5355,4.5,28,CA,120 S El Camino Real - Ste 1,https://www.yelp.com/biz/mills-peninsula-pediatric-dentistry-and-orthodontics-millbrae,mills-peninsula-pediatric-dentistry-and-orthodontics-millbrae,94030
1262,General Dentistry | Oral Surgeons | Periodontists,Millbrae,US,Dental Ease,(650) 697-3273,4.5,39,CA,1070 Broadway,https://www.yelp.com/biz/dental-ease-millbrae,dental-ease-millbrae,94030
1263,General Dentistry | Cosmetic Dentists,Burlingame,US,"Eugene T Kita, DDS",(650) 697-3538,5.0,32,CA,1740 Marco Polo Way - Ste 7,https://www.yelp.com/biz/eugene-t-kita-dds-burlingame,eugene-t-kita-dds-burlingame,94010
1264,Oral Surgeons,Burlingame,US,"William B Bohannan DDS, MD, PC",(650) 692-1530,4.5,50,CA,1750 El Camino Real - Ste 403,https://www.yelp.com/biz/william-b-bohannan-dds-md-pc-burlingame,william-b-bohannan-dds-md-pc-burlingame,94010
1265,General Dentistry,Millbrae,US,Gressard Jeffrey P DDS,(650) 583-7191,5.0,13,CA,1496 Broadway,https://www.yelp.com/biz/gressard-jeffrey-p-dds-millbrae,gressard-jeffrey-p-dds-millbrae,94030
1266,Endodontists | Orthodontists | Pediatric Dentists,San Bruno,US,"Ankur Parikh, DDS - Your San Bruno Dentist",(650) 871-2917,4.5,19,CA,1490 El Camino Real,https://www.yelp.com/biz/ankur-parikh-dds-your-san-bruno-dentist-san-bruno,ankur-parikh-dds-your-san-bruno-dentist-san-bruno,94066
1267,General Dentistry,San Bruno,US,"Maria Esperanza Labao, DDS",(650) 873-6798,5.0,9,CA,1590 El Camino Real - # A,https://www.yelp.com/biz/maria-esperanza-labao-dds-san-bruno,maria-esperanza-labao-dds-san-bruno,94066
1268,Pediatric Dentists,Millbrae,US,"Nicolas L Bronzini, DDS",(650) 697-0981,5.0,16,CA,101 Taylor Blvd,https://www.yelp.com/biz/nicolas-l-bronzini-dds-millbrae,nicolas-l-bronzini-dds-millbrae,94030
1269,Orthodontists,Burlingame,US,Burlingame Orthodontics,(650) 342-5801,5.0,29,CA,500 Primrose Rd - Ste 1,https://www.yelp.com/biz/burlingame-orthodontics-burlingame-3,burlingame-orthodontics-burlingame-3,94010
1270,General Dentistry,Burlingame,US,"Miller H Douglas, DDS",(650) 692-0727,5.0,14,CA,1828 El Camino Real - Ste 810,https://www.yelp.com/biz/miller-h-douglas-dds-burlingame,miller-h-douglas-dds-burlingame,94010
1271,General Dentistry | Cosmetic Dentists | Pediatric Dentists,Burlingame,US,"Ricci Chan, DMD",(650) 697-9497,4.5,23,CA,1720 Marco Polo Way - Ste G - Pacific Dental Group,https://www.yelp.com/biz/ricci-chan-dmd-burlingame,ricci-chan-dmd-burlingame,94010
1272,Periodontists,Burlingame,US,"Milliken Scott W, DDS, Ms",(650) 697-3450,4.5,19,CA,1828 El Camino Real - Ste 505,https://www.yelp.com/biz/milliken-scott-w-dds-ms-burlingame,milliken-scott-w-dds-ms-burlingame,94010
1273,Oral Surgeons,Daly City,US,"Paul Hall, DDS - Oral & Maxillofacial Surgery",(650) 992-7874,4.5,52,CA,901 Campus Dr - Ste 204,https://www.yelp.com/biz/paul-hall-dds-oral-and-maxillofacial-surgery-daly-city-4,paul-hall-dds-oral-and-maxillofacial-surgery-daly-city-4,94015
1274,General Dentistry,Millbrae,US,Kim James S DMD,(650) 697-6691,4.5,14,CA,485 Broadway - Ste 700,https://www.yelp.com/biz/kim-james-s-dmd-millbrae,kim-james-s-dmd-millbrae,94030
1275,General Dentistry | Cosmetic Dentists | Pediatric Dentists,Burlingame,US,"Peggy Ambus, DDS",(650) 259-1111,5.0,12,CA,1870 El Camino Real - Ste 204,https://www.yelp.com/biz/peggy-ambus-dds-burlingame-2,peggy-ambus-dds-burlingame-2,94010
1276,General Dentistry,Millbrae,US,"Reinhard Weiser, DDS",(650) 697-2252,5.0,9,CA,485 Broadway - Ste 400,https://www.yelp.com/biz/reinhard-weiser-dds-millbrae,reinhard-weiser-dds-millbrae,94030
1277,General Dentistry | Cosmetic Dentists | Endodontists,Pacifica,US,"Marvin S Kobori, DDS - Kobori Family Dentistry",(650) 359-1463,5.0,20,CA,1031 Terra Nova Blvd,https://www.yelp.com/biz/marvin-s-kobori-dds-kobori-family-dentistry-pacifica,marvin-s-kobori-dds-kobori-family-dentistry-pacifica,94044
1278,General Dentistry | Cosmetic Dentists | Endodontists,Millbrae,US,Dela Rama Dental Care - Millbrae,(650) 239-9627,4.5,11,CA,120 S El Camino Real - Ste 19,https://www.yelp.com/biz/dela-rama-dental-care-millbrae-millbrae,dela-rama-dental-care-millbrae-millbrae,94030
1279,General Dentistry,Burlingame,US,"Eileen McCarthy, DDS",(650) 343-3042,5.0,15,CA,1275 California Dr,https://www.yelp.com/biz/eileen-mccarthy-dds-burlingame,eileen-mccarthy-dds-burlingame,94010
1280,General Dentistry | Cosmetic Dentists,Millbrae,US,Bronzini Dental Group,(650) 697-9405,3.5,29,CA,101 Taylor Blvd,https://www.yelp.com/biz/bronzini-dental-group-millbrae,bronzini-dental-group-millbrae,94030
1281,Periodontists,Burlingame,US,"Consani Kevin U, DDS MS",(650) 697-3450,4.5,11,CA,1828 El Camino Real - Ste 505,https://www.yelp.com/biz/consani-kevin-u-dds-ms-burlingame,consani-kevin-u-dds-ms-burlingame,94010
1282,Oral Surgeons | General Dentistry,Millbrae,US,"Thomas A Nichol, DDS",(650) 583-2584,4.5,7,CA,1490 Broadway,https://www.yelp.com/biz/thomas-a-nichol-dds-millbrae,thomas-a-nichol-dds-millbrae,94030
1283,Cosmetic Dentists | General Dentistry | Endodontists,Daly City,US,"Kenneth Hovden, DDS",(650) 755-6000,4.5,19,CA,901 Campus Dr - Ste 202,https://www.yelp.com/biz/kenneth-hovden-dds-daly-city,kenneth-hovden-dds-daly-city,94015
1284,General Dentistry | Cosmetic Dentists | Endodontists,Burlingame,US,Burlingame Dental,(650) 697-8089,4.0,16,CA,1720 Marco Polo Way - Ste D,https://www.yelp.com/biz/burlingame-dental-burlingame,burlingame-dental-burlingame,94010
1285,General Dentistry,San Bruno,US,"Li Kam Ho, DDS",(650) 794-1928,4.0,7,CA,1590 El Camino Real - Ste A,https://www.yelp.com/biz/li-kam-ho-dds-san-bruno-2,li-kam-ho-dds-san-bruno-2,94080
1286,Endodontists,Burlingame,US,"Jerry H Lin, DMD",(650) 692-2131,4.5,7,CA,1828 El Camino Real,https://www.yelp.com/biz/jerry-h-lin-dmd-burlingame,jerry-h-lin-dmd-burlingame,94010
1287,General Dentistry,Burlingame,US,"Galant Zoya, DDS",(650) 697-0500,4.0,14,CA,1740 Marco Polo Way - Ste 2,https://www.yelp.com/biz/galant-zoya-dds-burlingame,galant-zoya-dds-burlingame,94010
1288,Oral Surgeons | Periodontists | Cosmetic Dentists,Burlingame,US,United Dental Group,(650) 777-9195,3.5,14,CA,1840 El Camino Real,https://www.yelp.com/biz/united-dental-group-burlingame,united-dental-group-burlingame,94010
1289,Orthodontists | Pediatric Dentists,Daly City,US,Joann J Toy DMD,(650) 757-9490,4.5,17,CA,901 Campus Dr - Ste 212,https://www.yelp.com/biz/joann-j-toy-dmd-daly-city,joann-j-toy-dmd-daly-city,94015
1290,General Dentistry,Daly City,US,Mock Scott K DDS,(650) 991-1988,5.0,6,CA,901 Campus Dr,https://www.yelp.com/biz/mock-scott-k-dds-daly-city,mock-scott-k-dds-daly-city,94015
1291,General Dentistry | Endodontists | Cosmetic Dentists,Millbrae,US,"Joseph Huang, DDS",(650) 989-8711,4.5,4,CA,1641 El Camino Real - Ste 100,https://www.yelp.com/biz/joseph-huang-dds-millbrae,joseph-huang-dds-millbrae,94030
1292,General Dentistry,Burlingame,US,Williams Ross O DDS,(650) 692-3387,5.0,5,CA,1740 Marco Polo Way,https://www.yelp.com/biz/williams-ross-o-dds-burlingame,williams-ross-o-dds-burlingame,94010
1293,General Dentistry | Cosmetic Dentists,Burlingame,US,"Froerer Joshua, DDS",(650) 343-1104,4.5,12,CA,500 Primrose Rd - Ste 2,https://www.yelp.com/biz/froerer-joshua-dds-burlingame,froerer-joshua-dds-burlingame,94010
1294,Periodontists,Millbrae,US,Sun Jeffrey K DMD,(650) 692-7776,4.0,8,CA,485 Broadway,https://www.yelp.com/biz/sun-jeffrey-k-dmd-millbrae,sun-jeffrey-k-dmd-millbrae,94030
1295,Orthodontists,Daly City,US,Hovden Caren F DDS,(650) 755-2200,5.0,7,CA,901 Campus Dr,https://www.yelp.com/biz/hovden-caren-f-dds-daly-city,hovden-caren-f-dds-daly-city,94015
1296,General Dentistry | Cosmetic Dentists,Pacifica,US,"Michael C Thomas, DDS",(650) 359-0450,4.5,8,CA,330 Eureka Sq,https://www.yelp.com/biz/michael-c-thomas-dds-pacifica,michael-c-thomas-dds-pacifica,94044
1297,General Dentistry,Millbrae,US,"Cecilia Ju, DDS",(650) 259-9896,2.5,19,CA,140 El Camino Real,https://www.yelp.com/biz/cecilia-ju-dds-millbrae,cecilia-ju-dds-millbrae,94030
1298,Orthodontists | Cosmetic Dentists | General Dentistry,Daly City,US,Serramonte Ridge Dental,(650) 756-1900,4.0,17,CA,901 Campus Dr - Ste 304,https://www.yelp.com/biz/serramonte-ridge-dental-daly-city,serramonte-ridge-dental-daly-city,94015
1299,General Dentistry | Orthodontists | Cosmetic Dentists,Burlingame,US,Peninsula Family Smile Center,(650) 692-9788,3.5,12,CA,1828 El Camino Real - Ste 603,https://www.yelp.com/biz/peninsula-family-smile-center-burlingame-2,peninsula-family-smile-center-burlingame-2,94010
1300,General Dentistry,Daly City,US,"Frank G Yeh, DDS",,4.5,8,CA,,https://www.yelp.com/biz/frank-g-yeh-dds-daly-city,frank-g-yeh-dds-daly-city,94015
1301,General Dentistry,Daly City,US,"Vivian S Khoury, DMD",(650) 758-4632,5.0,6,CA,341 Westlake Ctr - Ste 330,https://www.yelp.com/biz/vivian-s-khoury-dmd-daly-city-2,vivian-s-khoury-dmd-daly-city-2,94015
1302,General Dentistry,Millbrae,US,"Fabiana Melo, DDS",(650) 576-4341,5.0,2,CA,485 Broadway - Ste 700,https://www.yelp.com/biz/fabiana-melo-dds-millbrae,fabiana-melo-dds-millbrae,94030
1303,General Dentistry,Millbrae,US,Cheung Luisa DDS,(650) 583-4266,3.5,5,CA,660 El Camino Real,https://www.yelp.com/biz/cheung-luisa-dds-millbrae,cheung-luisa-dds-millbrae,94030
1304,General Dentistry,Millbrae,US,Caturay Dental Care,(650) 589-3667,1.5,18,CA,1301 Broadway,https://www.yelp.com/biz/caturay-dental-care-millbrae,caturay-dental-care-millbrae,94030
1305,General Dentistry,Burlingame,US,"Tim McCarthy, DDS",(650) 343-3042,5.0,4,CA,1275 California Dr,https://www.yelp.com/biz/tim-mccarthy-dds-burlingame,tim-mccarthy-dds-burlingame,94010
1306,Oral Surgeons | Endodontists,Millbrae,US,"Bronzini Rey, DDS - Bronzini Dental Group",(650) 697-9405,3.5,3,CA,101 Taylor Blvd,https://www.yelp.com/biz/bronzini-rey-dds-bronzini-dental-group-millbrae,bronzini-rey-dds-bronzini-dental-group-millbrae,94030
1307,General Dentistry,Burlingame,US,"Hallsted Scott, DDS",(650) 343-1104,4.0,6,CA,500 Primrose Rd,https://www.yelp.com/biz/hallsted-scott-dds-burlingame,hallsted-scott-dds-burlingame,94010
1308,General Dentistry,Daly City,US,"Ballan D Tuck, DDS",(650) 756-1900,4.0,4,CA,901 Campus Dr - Ste 304,https://www.yelp.com/biz/ballan-d-tuck-dds-daly-city,ballan-d-tuck-dds-daly-city,94015
1309,General Dentistry,Daly City,US,Skyline Dental,(650) 994-3471,4.0,5,CA,180 Skyline Plz,https://www.yelp.com/biz/skyline-dental-daly-city,skyline-dental-daly-city,94015
1310,General Dentistry,Burlingame,US,Meyer William T DDS,(650) 692-5556,5.0,1,CA,1740 Marco Polo Way,https://www.yelp.com/biz/meyer-william-t-dds-burlingame,meyer-william-t-dds-burlingame,94010
1311,General Dentistry,Daly City,US,Saint Francis Square Dental Care,(650) 758-4882,5.0,2,CA,41 Saint Francis Sq,https://www.yelp.com/biz/saint-francis-square-dental-care-daly-city,saint-francis-square-dental-care-daly-city,94015
1312,General Dentistry,Burlingame,US,"Leung John K, DDS",(650) 685-8778,3.0,5,CA,500 Primrose Rd,https://www.yelp.com/biz/leung-john-k-dds-burlingame,leung-john-k-dds-burlingame,94010
1313,General Dentistry,Burlingame,US,Mekhteys DR DDS,(650) 692-0555,2.5,3,CA,1860 El Camino Real - Ste 315,https://www.yelp.com/biz/mekhteys-dr-dds-burlingame,mekhteys-dr-dds-burlingame,94010
1314,Cosmetic Dentists | General Dentistry,Daly City,US,Librada Yamat DDS,(650) 991-2832,2.5,10,CA,187 Southgate Ave,https://www.yelp.com/biz/librada-yamat-dds-daly-city-2,librada-yamat-dds-daly-city-2,94015
1315,General Dentistry | Cosmetic Dentists,Millbrae,US,Bay Area Sleep Apnea Oral Appliance,(650) 741-6699,5.0,1,CA,88 Capuchino Dr - Ste B,https://www.yelp.com/biz/bay-area-sleep-apnea-oral-appliance-millbrae,bay-area-sleep-apnea-oral-appliance-millbrae,94030
1316,General Dentistry,Burlingame,US,Transport Workers Union 505,(650) 692-1051,4.0,1,CA,1521 Rollins Rd,https://www.yelp.com/biz/transport-workers-union-505-burlingame,transport-workers-union-505-burlingame,94010
1317,Pediatric Dentists,Millbrae,US,"Niki Fallah, DDS",(650) 689-5355,5.0,1,CA,120 El Camino Real - Ste 1,https://www.yelp.com/biz/niki-fallah-dds-millbrae,niki-fallah-dds-millbrae,94030
1318,Dentists,Burlingame,US,Ming Ju Song,(650) 689-5680,5.0,1,CA,1633 Bayshore Hwy,https://www.yelp.com/biz/ming-ju-song-burlingame,ming-ju-song-burlingame,94010
1319,Pediatric Dentists,Burlingame,US,Gentle Dentistry,(650) 692-5556,1.0,1,CA,1740 Marco Polo Way - Ste 11,https://www.yelp.com/biz/gentle-dentistry-burlingame,gentle-dentistry-burlingame,94010
1320,General Dentistry,Daly City,US,Tucker Eleanor DDS,(650) 991-2832,1.0,1,CA,187 Southgate Ave,https://www.yelp.com/biz/tucker-eleanor-dds-daly-city,tucker-eleanor-dds-daly-city,94015
1321,General Dentistry,Daly City,US,"Peter Ceylon Farmer, DDS, MD",(650) 756-1900,1.0,1,CA,901 Campus Dr - Ste 304,https://www.yelp.com/biz/peter-ceylon-farmer-dds-md-daly-city,peter-ceylon-farmer-dds-md-daly-city,94015
1322,General Dentistry | Orthodontists,Clayton,US,"Christina P Mason, DDS",(925) 672-1559,4.5,68,CA,5433 Clayton Rd - Ste D,https://www.yelp.com/biz/christina-p-mason-dds-clayton-2,christina-p-mason-dds-clayton-2,94517
1323,General Dentistry | Cosmetic Dentists,Concord,US,"Todd A Loftin, DDS",(925) 672-7997,5.0,51,CA,1440 Washington Blvd - Ste B-3,https://www.yelp.com/biz/todd-a-loftin-dds-concord,todd-a-loftin-dds-concord,94521
1324,Cosmetic Dentists | General Dentistry | Pediatric Dentists,Clayton,US,The Grove Family Dentistry,(925) 350-8592,4.5,22,CA,6200 Center St - Ste I and J,https://www.yelp.com/biz/the-grove-family-dentistry-clayton,the-grove-family-dentistry-clayton,94517
1325,Orthodontists,Concord,US,Clayton Valley Orthodontics,(925) 672-6200,5.0,30,CA,1494 Washington Blvd - Ste D,https://www.yelp.com/biz/clayton-valley-orthodontics-concord,clayton-valley-orthodontics-concord,94521
1326,General Dentistry,Clayton,US,Keith Bradburn DDS,(925) 672-0110,5.0,17,CA,6123 Main St,https://www.yelp.com/biz/keith-bradburn-dds-clayton,keith-bradburn-dds-clayton,94517
1327,Orthodontists,Concord,US,"Stephen  Ludwig, DMD, MS - Clayton Valley Orthodontics",(925) 672-6200,5.0,16,CA,1494 Washington Blvd - Ste D,https://www.yelp.com/biz/stephen-ludwig-dmd-ms-clayton-valley-orthodontics-concord,stephen-ludwig-dmd-ms-clayton-valley-orthodontics-concord,94521
1328,General Dentistry,Clayton,US,Perfect Smiles Family Dentistry,(925) 833-8702,4.5,12,CA,1026 Oak St - Ste 206,https://www.yelp.com/biz/perfect-smiles-family-dentistry-clayton-2,perfect-smiles-family-dentistry-clayton-2,94517
1329,Endodontists | Periodontists | Cosmetic Dentists,Concord,US,"Jenny H Chong, DDS",(925) 827-5595,5.0,25,CA,5167 Clayton Rd - Ste E,https://www.yelp.com/biz/jenny-h-chong-dds-concord,jenny-h-chong-dds-concord,94521
1330,General Dentistry | Cosmetic Dentists,Concord,US,"Kent Davis, DDS",(925) 825-1130,4.5,28,CA,5100 Clayton Rd - Ste A19,https://www.yelp.com/biz/kent-davis-dds-concord,kent-davis-dds-concord,94521
1331,General Dentistry,Concord,US,"Michael R Becker, DDS",(925) 672-0150,4.5,10,CA,1494 Washington Blvd - Ste C,https://www.yelp.com/biz/michael-r-becker-dds-concord,michael-r-becker-dds-concord,94521
1332,Cosmetic Dentists | General Dentistry | Orthodontists,Concord,US,Clayton Dental Group,(925) 524-0444,4.0,20,CA,5442 Ygnacio Valley Rd - Ste 70,https://www.yelp.com/biz/clayton-dental-group-concord,clayton-dental-group-concord,94521
1333,General Dentistry | Orthodontists | Cosmetic Dentists,Concord,US,"Pooja Hegde, DDS",(925) 672-7300,5.0,8,CA,1494-A Washington Blvd,https://www.yelp.com/biz/pooja-hegde-dds-concord,pooja-hegde-dds-concord,94521
1334,Cosmetic Dentists | General Dentistry,Pittsburg,US,Highland Dentistry,(925) 473-9440,5.0,27,CA,1357 Buchanan Rd,https://www.yelp.com/biz/highland-dentistry-pittsburg,highland-dentistry-pittsburg,94565
1335,Oral Surgeons | General Dentistry | Pediatric Dentists,Pittsburg,US,Sky Dental,(925) 432-2444,4.0,92,CA,2230 Gladstone Dr - Ste 100,https://www.yelp.com/biz/sky-dental-pittsburg,sky-dental-pittsburg,94565
1336,General Dentistry | Cosmetic Dentists,Concord,US,"Josh McCormick, DDS",(925) 685-3043,5.0,13,CA,4455 Cowell Rd,https://www.yelp.com/biz/josh-mccormick-dds-concord,josh-mccormick-dds-concord,94518
1337,Oral Surgeons | General Dentistry | Cosmetic Dentists,Pittsburg,US,Pittsburg Family Dental,(925) 432-2929,4.5,25,CA,4020 Railroad Ave,https://www.yelp.com/biz/pittsburg-family-dental-pittsburg-2,pittsburg-family-dental-pittsburg-2,94565
1338,Orthodontists,Concord,US,"Taylor H Dixon, DDS, MSD",(925) 689-9350,4.5,14,CA,4501 Cowell Rd,https://www.yelp.com/biz/taylor-h-dixon-dds-msd-concord-2,taylor-h-dixon-dds-msd-concord-2,94518
1339,General Dentistry,Concord,US,"Craig C Nelson, DDS",(925) 825-1130,4.0,12,CA,5100 Clayton Rd,https://www.yelp.com/biz/craig-c-nelson-dds-concord,craig-c-nelson-dds-concord,94521
1340,General Dentistry | Orthodontists,Concord,US,"Jerry Pope, DDS",(925) 672-7300,5.0,3,CA,1494 Washington Blvd - Ste A,https://www.yelp.com/biz/jerry-pope-dds-concord,jerry-pope-dds-concord,94521
1341,General Dentistry | Pediatric Dentists | Cosmetic Dentists,Concord,US,Concord Dental & Orthodontics,(925) 677-1100,4.0,18,CA,4305 Clayton Rd - Ste G,https://www.yelp.com/biz/concord-dental-and-orthodontics-concord,concord-dental-and-orthodontics-concord,94521
1342,General Dentistry | Cosmetic Dentists,Concord,US,"Lyla Turkzadeh, DDS - Clayton Valley Dental",(925) 798-2200,4.0,14,CA,4450 Clayton Rd,https://www.yelp.com/biz/lyla-turkzadeh-dds-clayton-valley-dental-concord,lyla-turkzadeh-dds-clayton-valley-dental-concord,94521
1343,General Dentistry,Concord,US,Treat Plaza Dental,(925) 363-7715,5.0,8,CA,4425 Treat Blvd - Ste A,https://www.yelp.com/biz/treat-plaza-dental-concord,treat-plaza-dental-concord,94521
1344,General Dentistry | Cosmetic Dentists,Concord,US,Concord Dental Care,(925) 682-8566,4.0,10,CA,5167 Clayton Rd - Ste C,https://www.yelp.com/biz/concord-dental-care-concord,concord-dental-care-concord,94521
1345,General Dentistry,Pittsburg,US,Yosemite Dental Care,(925) 432-3838,4.5,10,CA,120 Yosemite Dr,https://www.yelp.com/biz/yosemite-dental-care-pittsburg,yosemite-dental-care-pittsburg,94565
1346,General Dentistry | Endodontists | Cosmetic Dentists,Concord,US,"Steve H Galvan, DDS",(925) 676-6363,3.5,20,CA,4375 Clayton Rd - Ste D,https://www.yelp.com/biz/steve-h-galvan-dds-concord-2,steve-h-galvan-dds-concord-2,94521
1347,Orthodontists | Cosmetic Dentists | General Dentistry,Concord,US,Concord Dental Group,(925) 849-4469,4.5,12,CA,4125 Concord Blvd - Ste A,https://www.yelp.com/biz/concord-dental-group-concord,concord-dental-group-concord,94519
1348,Oral Surgeons,Concord,US,"Tottle Cynthia D, DDS",(925) 672-0150,5.0,2,CA,1494 Washington Blvd - Ste C,https://www.yelp.com/biz/tottle-cynthia-d-dds-concord,tottle-cynthia-d-dds-concord,94521
1349,Oral Surgeons | Cosmetic Dentists | General Dentistry,Concord,US,"Marivic Angeles, DDS",(925) 676-4500,4.0,5,CA,5047 Clayton Rd,https://www.yelp.com/biz/marivic-angeles-dds-concord,marivic-angeles-dds-concord,94521
1350,Oral Surgeons,Clayton,US,"Gardner Randell F, DDS",(925) 672-0110,4.0,1,CA,6123 Main St,https://www.yelp.com/biz/gardner-randell-f-dds-clayton,gardner-randell-f-dds-clayton,94517
1351,General Dentistry,Pittsburg,US,Ostomel Ron DMD,(925) 432-3347,5.0,4,CA,3715 Railroad Ave,https://www.yelp.com/biz/ostomel-ron-dmd-pittsburg,ostomel-ron-dmd-pittsburg,94565
1352,Orthodontists | General Dentistry | Cosmetic Dentists,Pittsburg,US,Loveridge Dental Group,(925) 427-2222,3.0,27,CA,1270 E Leland Rd - Ste 101,https://www.yelp.com/biz/loveridge-dental-group-pittsburg,loveridge-dental-group-pittsburg,94565
1353,General Dentistry | Cosmetic Dentists | Endodontists,Concord,US,"Bita Matin, DDS",(925) 446-4242,4.0,5,CA,1494 Balhan Dr - Ste B,https://www.yelp.com/biz/bita-matin-dds-concord,bita-matin-dds-concord,94521
1354,General Dentistry,Concord,US,Smile Family Dentistry,(925) 825-1130,5.0,2,CA,5100 Clayton Rd - Ste A19,https://www.yelp.com/biz/smile-family-dentistry-concord,smile-family-dentistry-concord,94521
1355,Dentists,Pittsburg,US,Marosario Exconde DDS,(925) 427-9496,5.0,1,CA,2931 Harbor St - Ste I,https://www.yelp.com/biz/marosario-exconde-dds-pittsburg,marosario-exconde-dds-pittsburg,94565
1356,Dentists,Concord,US,"Gene Allen Herrera, DDS",(925) 682-8566,3.0,2,CA,5161 Clayton Rd - Ste B,https://www.yelp.com/biz/gene-allen-herrera-dds-concord,gene-allen-herrera-dds-concord,94521
1357,General Dentistry | Orthodontists | Cosmetic Dentists,Oakland,US,Oaktown Dental,(510) 319-0189,5.0,75,CA,2844 Summit St - Ste 206,https://www.yelp.com/biz/oaktown-dental-oakland,oaktown-dental-oakland,94609
1358,General Dentistry | Cosmetic Dentists,Oakland,US,Oakland Eco Dental,(510) 465-2838,4.5,101,CA,2838 Summit St,https://www.yelp.com/biz/oakland-eco-dental-oakland,oakland-eco-dental-oakland,94609
1359,General Dentistry | Cosmetic Dentists | Prosthodontists,Oakland,US,Laurel Smile Dentistry,(510) 530-3317,4.5,177,CA,3630 Macarthur Blvd,https://www.yelp.com/biz/laurel-smile-dentistry-oakland-3,laurel-smile-dentistry-oakland-3,94619
1360,Pediatric Dentists | Orthodontists,Oakland,US,Alameda Pediatric Dentistry - Oakland,(510) 763-5437,5.0,45,CA,401 Grand Ave - Ste 150,https://www.yelp.com/biz/alameda-pediatric-dentistry-oakland-oakland,alameda-pediatric-dentistry-oakland-oakland,94610
1361,Cosmetic Dentists | Oral Surgeons | Orthodontists,Oakland,US,Total Health Dental Care,(510) 824-8754,4.5,140,CA,827 Broadway - Ste 320,https://www.yelp.com/biz/total-health-dental-care-oakland-16,total-health-dental-care-oakland-16,94607
1362,Cosmetic Dentists | Oral Surgeons | Orthodontists,Montclair,US,Total Health Dental Care,(510) 390-8833,4.0,83,CA,6201 Antioch St - Ste 102,https://www.yelp.com/biz/total-health-dental-care-montclair-3,total-health-dental-care-montclair-3,94611
1363,General Dentistry | Cosmetic Dentists | Orthodontists,Oakland,US,Total Health Dental Care,(510) 444-4334,4.0,193,CA,363 15th St,https://www.yelp.com/biz/total-health-dental-care-oakland-10,total-health-dental-care-oakland-10,94612
1364,General Dentistry | Cosmetic Dentists | Periodontists,Oakland,US,Dragon Dental Group,(510) 268-1727,4.5,112,CA,1808 Franklin St,https://www.yelp.com/biz/dragon-dental-group-oakland,dragon-dental-group-oakland,94612
1365,General Dentistry | Teeth Whitening | Cosmetic Dentists,Oakland,US,Lake Merritt Dental,(510) 834-4321,4.0,163,CA,1900 Webster St - Ste A,https://www.yelp.com/biz/lake-merritt-dental-oakland,lake-merritt-dental-oakland,94612
1366,Oral Surgeons | General Dentistry | Cosmetic Dentists,Oakland,US,Uptown Dental,(510) 893-4321,5.0,52,CA,1716 Telegraph Ave,https://www.yelp.com/biz/uptown-dental-oakland-3,uptown-dental-oakland-3,94612
1367,Pediatric Dentists | Orthodontists,Alameda,US,Alameda Pediatric Dentistry,(510) 521-5437,4.5,147,CA,1105 Atlantic Ave - Ste 101,https://www.yelp.com/biz/alameda-pediatric-dentistry-alameda,alameda-pediatric-dentistry-alameda,94501
1368,Orthodontists,Oakland,US,"Douglas B Tinloy, DDS",(510) 530-4500,5.0,19,CA,4174 Park Blvd,https://www.yelp.com/biz/douglas-b-tinloy-dds-oakland,douglas-b-tinloy-dds-oakland,94602
1369,Dentists,Oakland,US,"Laurie Shepherd, DDS",(510) 339-1045,5.0,23,CA,2087 Mountain Blvd,https://www.yelp.com/biz/laurie-shepherd-dds-oakland,laurie-shepherd-dds-oakland,94611
1370,General Dentistry,Oakland,US,Lakeshore Family Dentistry,(510) 444-4331,4.5,34,CA,3309 Lakeshore Ave,https://www.yelp.com/biz/lakeshore-family-dentistry-oakland-4,lakeshore-family-dentistry-oakland-4,94610
1371,Pediatric Dentists,Oakland,US,"Denise Bass Allen, DDS",(510) 763-2022,4.5,59,CA,2100 Broadway - Uptown Pediatric Dentistry,https://www.yelp.com/biz/denise-bass-allen-dds-oakland,denise-bass-allen-dds-oakland,94612
1372,Oral Surgeons | Orthodontists,Oakland,US,"Suen Halton, DDS",(510) 268-8888,4.5,62,CA,320 8th St - Ste 2D,https://www.yelp.com/biz/suen-halton-dds-oakland,suen-halton-dds-oakland,94607
1373,Cosmetic Dentists | Teeth Whitening,Oakland,US,Smile Direct Club,(800) 688-4010,4.5,55,CA,1300 Clay St - Ste 600,https://www.yelp.com/biz/smile-direct-club-oakland,smile-direct-club-oakland,94612
1374,Endodontists,Alameda,US,Endo Care Group - Alameda,(510) 521-7668,4.5,72,CA,2411 Webb Ave - Ste A,https://www.yelp.com/biz/endo-care-group-alameda-alameda,endo-care-group-alameda-alameda,94501
1375,Orthodontists,Oakland,US,Righellis & Associates,(510) 482-0600,4.5,29,CA,2220 Mountain Blvd - Ste 204,https://www.yelp.com/biz/righellis-and-associates-oakland,righellis-and-associates-oakland,94611
